timestamp_utc,region,az,instance_type,product,spot_price,price_timestamp_utc
2026-08-27T14:06:09Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Linux/UNIX,0.720200,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Windows,0.448900,2026-08-27T11:00:00Z
2026-08-27T14:06:09Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Linux/UNIX,0.824200,2026-08-27T09:00:00Z
2026-08-27T14:06:09Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Windows,0.375300,2026-08-27T07:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1a,g5.xlarge,Linux/UNIX,0.959500,2026-08-27T21:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1a,g5.xlarge,Windows,0.351300,2026-08-27T22:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1b,g5.xlarge,Linux/UNIX,0.760200,2026-08-27T23:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1b,g5.xlarge,Windows,0.330300,2026-08-27T19:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1c,g5.xlarge,Linux/UNIX,0.650900,2026-08-27T20:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1c,g5.xlarge,Windows,0.325500,2026-08-27T18:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1d,g5.xlarge,Linux/UNIX,0.574500,2026-08-27T19:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1d,g5.xlarge,Windows,0.327900,2026-08-27T23:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1f,g5.xlarge,Linux/UNIX,0.554100,2026-08-27T16:00:00Z
2026-08-27T23:46:00Z,us-east-1,us-east-1f,g5.xlarge,Windows,0.324500,2026-08-27T23:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2a,g5.xlarge,Linux/UNIX,0.385900,2026-08-27T15:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2a,g5.xlarge,Windows,0.284600,2026-08-27T22:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2b,g5.xlarge,Linux/UNIX,0.368700,2026-08-27T20:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2b,g5.xlarge,Windows,0.284600,2026-08-27T16:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2c,g5.xlarge,Linux/UNIX,0.342300,2026-08-27T21:00:00Z
2026-08-27T23:46:00Z,us-east-2,us-east-2c,g5.xlarge,Windows,0.284600,2026-08-27T22:00:00Z
2026-08-27T23:46:00Z,us-west-2,us-west-2a,g5.xlarge,Linux/UNIX,0.530500,2026-08-27T17:00:00Z
